Comment ID	Comment	Grammatically corrected comment	Politics	Hate Speech	Data																			
12	"Haxhiu, kjo mase dhjami qe erdhi i varfer e me kemishe gjithe djerse nen sqetulla , u be i pasur ne vendin e femijeve te zhveshur-Shqiperi.
Paguhet 220 000 $ usd ne marketing nga nje spital klient kryesor i tenderave te qeverise(Shiko listen e dekonspiruar nga hakerat iraniane) .Dhe kjo eshte vetem nje nga gjashte rrogat,Del se edhe nga inceneratoret ka marre paa (jo pak) megjithese portalin e tije se sheh kush...eshte pagese si mik i kryeministrit dhe pagese per heshtjen. Ky qelbesire me shqipoe te cale ne dialekt dhe aq me shume letrare...qe vjen nga Kosova ku intelektualet kane nje shqipe per tu pas zili , leh per te mbajtur nivelin luksoz te jeteses te siguruar fale qelbesirlleqeve dhe lehjeve te vazhdueshme ne ndihme te Qeverrise dhe perpjekjeve per te relativizuar a erresuar vjedhjet e kesaj Qeverie. Ne jete nuk ka lexuar kurre nje roman, pyeteni e do shikoni nivelin e injorances.Nuk thote dot unë ,por thote une...fjalite pa kallezues jo pak here apo pa kryefjale.... Kerkonte te na shiste oligarkun me te madh(Saimir Manen) per kryetar te PD-se  dhe Linda Ramen per Presidente. Ky eshte  kjo mase dhjami ..."	"Haxhiu, kjo mase dhjami qe erdhi i varfer e me kemishe gjithe djerse nen sqetulla , u be i pasur ne vendin e femijeve te zhveshur-Shqiperi.
Paguhet 220'000$  ne marketing nga nje spital, klient kryesor i tenderave te qeverise (Shiko listen e dekonspiruar nga hakerat iraniane). Dhe kjo eshte vetem nje nga gjashte rrogat. Del se edhe nga inceneratoret ka marre para (jo pak), megjithese portalin e tij nuk e sheh kush. Eshte pagese si mik i kryeministrit dhe pagese per heshtjen. Ky qelbesire, me shqipe te çale ne dialekt dhe aq me shume letrare, qe vjen nga Kosova ku intelektualet kane nje shqipe per t'u pas zili, leh per te mbajtur nivelin luksoz te jeteses te siguruar fale qelbesirlleqeve dhe lehjeve te vazhdueshme ne ndihme te qeverise dhe perpjekjeve per te relativizuar a errestuar vjedhjet e kesaj qeverie. Ne jete nuk ka lexuar kurre nje roman, pyeteni e do shikoni nivelin e injorances.Nuk thote dot ""unë"",por thote ""une""...fjalite pa kallezues, jo pak here, apo pa kryefjale. Kerkonte te na shiste oligarkun me te madh (Saimir Manen) per kryetar te PD-se  dhe Linda Ramen per presidente. Ky eshte kjo mase dhjami."	Politics	T																				
13	O Blend dhoumeni,leri te flasin te ftuarit	O Blend showman ,leri te flasin te ftuarit.	Politics	F																				
14	Nasho. gjith jeten komunist , tani demokrat. Cuni i Fahriut qe gjith jeten komunist babai, cuni na doli demokrat. Sa qesharak qe jan	Nasho gjithe jeten komunist , tani demokrat. Cuni i Fahriut qe gjithe jeten ishte komunist babai, cuni na doli demokrat. Sa qesharak qe jane.	Politics	F																				
15	Poshte sorosianet.pty faqezi baton e belinda.rrofte altin goxhaj	Poshte Sorosianet. Faqezi Baton e Belinda. Rrofte Altin Goxhaj.	Politics	F																				
16	O Fefzi vendos rregull,lere shoumenin qe bene	O Fevzi vendos rregull, lere showman-in qe ben.	Politics	F																				
17	Ja cfar ambasadoresh kemi pasur, komplet partiak e i peshtirur…	Ja cfare ambasadoresh kemi pasur, komplet partiak e i peshtire.	Politics	T																				
18	Sa e ceket kjo	Sa e ceket kjo.	Politics	F																				
19	Kaja nenen me kete opozite sekti, brohorima edhe ide te viteve 90 Edi Rama do rrije ne pushtet deri te plaket edhe te mbetet pa dhembet..	Vajtoja  nenen me kete opozite sekti, brohorima edhe ide te viteve 90. Edi Rama do rrije ne pushtet deri sa te plaket edhe te mbetet pa dhembet.	Politics	F																				
20	Lere gocen te flasi,mor shoum	Lere gocen te flase,mor showman.	Politics	F																				
21	"Ky Nesha per nje page mujore te majme edhe gruan do japi Likit Floririt..
Opozite katastrofale edhe me bajate askundi ne bote nuk ka edhe nuk do kete!"	"Ky Nesha per nje page mujore te majme edhe gruan do ia jape Likit Floririt..
Opozite katastrofale edhe me bajate. Askund ne bote nuk ka edhe nuk do kete si kjo!"	Politics	T																				
22	"Ta ç.. plakun matuf te korruptuar.
Si ka mundesi se nje ”ambasadore” 72 vjeçare flisja sikur te ishte nje femije ne shkolle fillore ?"	"Ta qifsha plakun, matuf i korruptuar.
Si ka mundesi qe nje ”ambasadore” 72 vjeçare flet sikur te ishte nje femije ne shkolle fillore ?"	Politics	T																				
23	Hajde panel hajde	Hajde panel hajde!	Politics	F																				
24	O Fevzi hiq  fore nga kriminel Berish se do te degradosh	O Fevzi hiq  dore nga kriminel Berisha se do te degradosh.	Politics	F																				
25	Kush e beri Neshon ambasador mor aman	Kush e beri Neshon ambasador mor aman?	Politics	F																				
26	"Kjo është „cic mic fshati“ shkoj ke Azemi pastaj erdhi ke Fefziu 🤣👍
Respekte i nderuar"	"Kjo është „cic mic fshati“, shkoi tek Azemi pastaj erdhi ke Fevziu 🤣👍
Respekte i nderuar."	Politics	F																				
27	hera e fundit qe te shikoj o Fontamas........kta plehrat qe therret Nesho e kte kok demin cunin e kok demit tjeter Balliut...kjo surrat dhia me trendafil ne gjoks.....keta jane njerez te deshtuar berishist te cmendur , antiamerikan dhe pa apo me dashje keta i sherbejne edhe djallit edhe antishqiptarise vetem Rama te zhduket e keta te vijne ne pushtet.......po me ardh keta ne pushtet duhet me ardh me i honger pilafin Shqiperis........	Hera e fundit qe te shikoj, o Fontamas. Keta plehrat qe therret Nesho dhe kete koke demin, cunin e koke demit tjeter,  Balliut. Kjo surrat dhia me trendafil ne gjoks. Keta jane njerez te deshtuar, Berishiste te cmendur , anti-amerikane, dhe pa apo me dashje keta i sherbejne edhe djallit edhe anti-shqiptarise. Vetem Rama te zhduket e keta te vijne ne pushtet. Po te vijne keta ne pushtet duhet te vij ti ha pilafin Shqiperise.	Politics	T																				
28	O Bled, ku i gjen këta idiotë si Diana dhe Kevin??!! Se Neshot dhe Fariun i dimë.	O Blend, ku i gjen këta idiotë si Diana dhe Kevin?!  Se Neshot dhe Fariun i dimë.	Politics	T																				
29	Q,fare thote ky pitbull idjot	Cfare thote ky pitbull idiot?	Politics	T																				
30	Ky bolja i Fariut i mësoi ata banorët a e Astirit, tani po mëson Blinkenin	Ky bolja i Fariut i mësoi ata banorët e Astirit, tani po mëson Blinkenin.	Politics	T																				
31	Ekrani ka ra shum posht.. figura	Ekrani ka rene shume poshte, figura ...	Politics	F																				
32	"Ambasador " Bythe	"Ambasador " bythe	Politics	T																				
33	Bledi Snita Pania eshte do te hedhi ne gjyq se i ke vjedhur emisjonin🎉	Blendi, Snita Pania do te hedhi ne gjyq se i ke vjedhur emisionin🎉	Politics	F																				
34	Blinken do na bente nje der te madh me qe e pelqen Ramen ta merrte ne administraten e vet dhe ta qlironte kete popull nga diktatura qe ka krijuar ky kryminister	Blinken do na bente nje nder te madh meqe e pelqen Ramen. Ta merrte ne administraten e vet dhe ta çlironte kete popull nga diktatura qe ka krijuar ky kryeminister	Politics	F																				
35	Keta partis demokratike jan shume felliqsire, per interesat e tyre dhe nenen e tyre shesin	Keta te partise demokratike jane shume felliqesira, per interesat e tyre dhe nenen e tyre shesin.	Politics	T																				
36	O balli o Dell	O balli o Dell!	Politics	T																				
37	Nesho o ambasadori i mutit te sali milices e balliu muti i bashes zhugan i likovcit	Nesho, o ambasadori i mutit te Sali Milices e Balliut, muti i Bashes, zhugan i likovcit.	Politics	T																				
38	Kush je TI more zotni	Kush je ti more zoteri?	Politics	T																				
39	Te rrahurit e foltores (politikisht),ne depresion..haàa	Te rrahurit e foltores (politikisht),ne depresion..haa	Politics	F																				
40	Fantozi je bere vegel e ramovicit .Ke kohe qe kundershton te verteten	Fantozi je bere vegel e Ramovicit .Ke kohe qe kundershton te verteten	Politics	F																				
41	Turp qe merr ate depotet injorant, prish nje emisjon, ai eshte nje gjysem cope majdanozi( balliu=ballist)	Turp qe merr ate deputet injorant, prish nje emision. Ai eshte nje gjysme cope majdanozi( balliu=ballist).	Politics	T																				
42	Aman ku ka ra shqiperia me balliun opozitar	Aman, ku ka rene Shqiperia me Balliun opozitar?	Politics	F																				
43	Turp te kesh ti si drejtus qe ben komand nje deputet injorant me nje llogjik femije.	Turp te kesh ti si drejtues qe ben komande, nje deputet injorant me nje logjike femije.	Politics	T																				
44	Batoni si gjith.on bastardi e lepirsi i Rames	Batoni si gjithmone bastardi e lepirsi i Rames!	Politics	T																				
45	Turp, turp corb nje ballist  balliu dhe ne majdanoz ambasador flasin 90% ne nje emisjon. Hera e fundit qe shoh kete emisjon.	Turp, turp corbe, nje ballist Balliu dhe nje majdanoz ambasador, flasin 90% ne nje emision. Hera e fundit qe shoh kete emision.	Politics	T																				
46	nuk degjohet krryq gomari ketij krriqit i duhet sali krimineli	Nuk degjohet kerric gomari, ketij kerricit i duhet Sali krimineli.	Politics	T																				
47	O bullafiq, ja fute por$&&. Blinken eshte super i kualifikuar o injorant!	O bullafiq, ja fute pordhes. Blinken eshte super i kualifikuar, o injorant!	Politics	T																				
48	BEN POLITIK BABALJA	Ben politike Babalja.	Politics	F																				
49	Aman blendi mos na i fto kete baton haxhiun se na i shpifi se i ben edi rames elozhe sikur te jete enver hoxha .se ky merr dhe koh te shumte televizive dhe jeni bere pale me pushtetin si emision sjeni me agresive si me para .po fillin te me pelqej me shum top story me griden se dhe ajo ndoshta po mundohet fillimi mos te mbaje ane politike	Aman Blendi mos na e fto kete Baton Haxhiun se na e shpifi. I ben Edi Rames elozhe sikur te jete Enver Hoxha .Ky merr dhe kohe te shumte televizive. Jeni bere pale me pushtetin si emision, s'jeni me agresive si me para .Po fillon te me pelqej me shum Top Story me Griden, se dhe ajo ndoshta po mundohet ne filllim mos te mbaje ane politike.	Politics	F																				
50	Vllezrit tan kinezet ruset sot amerikanet pun baxhellash jem ne	"
Vellezerit tane kinezet, rusët, sot jane amerikanet. Pune baxhellash jemi ne.
"	Politics	T																				
51	"O Blendi zerin e ke katastrofe te ulet nga muji janar 2023!
Ne maximum i kem airpods pro edhe gati asgje nuk ndegjoja!!"	"O Blendi zerin e ke katastrofe, te ulet nga muaji janar 2023!
Ne maximum i kam ""airpods pro"" edhe gati asgje nuk degjoja!"	Politics	F																				
52	edhe baton stanishiqi kopil serbi	Edhe Baton Stanishiqi, kopil serbi!	Politics	T																				
53	Qelbesira Baton Haxhiu	Qelbesira Baton Haxhiu!	Politics	T																				
54	O nesho ju ka ber SALIU budallenj  por blinkeni se takoj bashen se po ben loj me SALIUN dhe Bardhin	O Nesho ju ka bere Saliu budallenj, por Blinkeni se takoi Bashen sepse po ben lojera me Saliun dhe Bardhin.	Politics	F																				
55	Blinken oreee,, jo Bllinken	Blinken oreee, jo Bllinken	Politics	F																				
56	Po  te  ishin  aq  te  drejt  shqiptart  doja  kishin  ka  lua  amerikes  qe  esht  demokracia  e  gjith  botes	Po te ishin aq te drejte shqiptaret do ia kishin kaluar Amerikes, qe eshte demokracia e gjithe botes.	Politics	F																				
57	Bravo  Batonit  qe  esht  shum  analist  shum  i  drejt  edhe  i  sakt  me  gjak  ftohtesin  kur  flet  po  badhkan  esht  fuci  barutit	Bravo  Batonit qe eshte analist,  shume  i  drejte  edhe  i  sakte  me  gjakftohtesine  kur  flet. Po,  Ballkani  eshte  fuqi  baruti.	Politics	F																				
58	Fevzi !Nuk e kuptoni qe jane hedhur ne sulm porthale analist leshi te vjeter e te rinj kur Serbija po pregatitet per LUFTE do shifni dhe me shume cerra analist laraska analist port hale te tjera te financuara nga Ruset Serbet Greket e te tjere Per kete erdhi Bliken nuk erdhi per Balliun e Neshon dhe per ballkonin	Fevzi, nuk e kuptoni qe jane hedhur ne sulm "port-hale" dhe analiste leshi, te vjeter e te rinj, kur Serbia po pergatitet per lufte? Do shihni dhe me shume cerra analistesh laraska, "port-hale" te tjera te financuara nga ruset, serbet, greket e te tjere. Per kete erdhi Bliken, nuk erdhi per Balliun e Neshon, dhe per "ballkonin".	Politics	F																				
59	O lesho iku.koha jote o komuniste	O lesh, iku koha jote, o komunist!	Politics	T																				
60	Fevzi nuk u ndertua Rinasi nga te burgosurit por nga ushtrija shqiptare dhe nga inxhinjeret e talentuar te ushtrise mos flisni ate qe nuk e dini	Fevzi, nuk u ndertua Rinasi nga te burgosurit, por nga ushtria shqiptare dhe nga inxhinieret e talentuar te ushtrise. Mos flisni ate qe nuk e dini.	Politics	F																				
61	Ky Nesho perfundimisht nuk ka rrjedhur por ka pjerdhur	Ky Nesho perfundimisht nuk ka rrjedhur, por ka pjerdhur.	Politics	T																				
62	O BATON JU NUK JENI ASNJË KOQE E ALBIN KURTIT JU DUHET TË LANI GOJËN ME BENZINË DHE PASTAJ TI VINI ZIARIN GOJËS TUAJ TË QELBUR....	O Baton, ju nuk jeni as edhe nje koqe e Albin Kurtit. Ju duhet te lani gojen me benzine dhe pastaj ti vini zjarrin gojes tuaj te qelbur.	Politics	T																				
63	Lum ne per analistet qe kemi, ardhja e Blinken, dhe investimet qe po behen po tregon se Italia me nuk eshte faktor sepse ajo pranoi te behet shtet si gjithe te tjerat te BE-se rolin e kesaj do e marre Shqiperia. Historia do e deshmoi kete.	Lum ne per analistet qe kemi. Ardhja e Blinken dhe investimet qe po behen.Kjo tregon se Italia nuk eshte me faktor sepse ajo pranoi te behet shtet si gjithe te tjerat te BE-se. Rolin e kesaj do e marre Shqiperia. Historia do e deshmoje kete.	Politics	F																				
64	Ore kujt i vlen kjo bisede kur analistet  mbajne hapur  nga ata qe i paguan dhe  qe kane interesa personale .  Kta nuk i sherbejne popullit o Blendi dhe ti qe e kthen pllaken nga te gjithe per interesin tend. Mos e pandehni popullin budalla sa jane me te zjuar se ata aty apo si ke degjuar ne intervistat ne rruge.	Ore kujt i vlen kjo bisede, kur analistet  mbajne hapur  nga ata qe paguhen dhe  qe kane interesa personale?  Keta nuk i sherbejne popullit, o Blendi. Dhe ti qe e kthen pllaken nga te gjithe per interesin tend. Mos e pandehni popullin budalla, se jane me te zgjuar se ata aty, apo si ke degjuar ne intervistat ne rruge?!	Politics	F																				
65	Uaa   Neshua paska qene mik i sorosit qenka merzit se nuk e paska financuar 😢😢	Uaa, Neshua paska qene mik i Sorosit, qenka merzit qe nuk e paska financuar 😢😢	Politics	F																				
66	Pershendetje Bledi dhe stafi juaj jeni te mrekudhueshem . Une si socialist kam dyshimet e mia qe Jane 3 qe do thote se 1 mbledhia e socialistet z kryeminister e ka pase nje sinjal nga amerika . 2 Ndoshta Ahmetaj ka prezentuar ndonje dokumen shum te rendesishem 3 Ndoshta goligar i ka treguar çdo gje  qe dhe erdhi me marre konfermimin e kryeministrit SHQIPTARE . Mund te jete edhe nje qeveri teknike respekte.	Pershendetje, Blendi dhe stafi juaj jeni te mrekullueshem . Une si socialist kam dyshimet e mia qe jane tre: 1. mbledhja e socialisteve qe  zoti  kryeminister e ka pasur nje sinjal nga amerika, 2. Ndoshta Ahmetaj ka prezentuar ndonje dokument shume te rendesishem, 3. Ndoshta oligarku i ka treguar çdo gje dhe erdhi te marre konfirmimin e kryeministrit shqiptar. Mund te jete edhe nje qeveri teknike. Respekte.	Politics	F																				
67	"Piramida simboli sundimtar i firaonit ate kuptim e ka.
Por shum shpejt do marin fund sistemi sundues perendimor si te gjitha sundimet deri me sot."	"Piramida: simboli sundimtar i faraonit; ate kuptim e ka.
Por shume shpejt do marri fund sistemi sundues perendimor, si te gjitha sundimet deri me sot."	Politics	F																				
68	Mesazhi i American :Tani kuptuan te gjithe se dhe America nuk ka demokraci ,por vetem interesa per Americanet ,se ky Blinken na e beri Qeverin me Ramen si jane qengja ?ke mashtroni ju o American ,ne Shqiptaret e dime me mire se ju se cfare ndyresira dhe hajduta dhe mafioze jane keta ,Per Monigal nuk the gje ? dokumentat e korrupsionit te Berishes ?nuk na i treguat ?perseri mashtrime ?dhe sy per sy ,cfare mendoni jane budallenj Shqiptaret?	Mesazhi i Amerikes: Tani kuptuan te gjithe se dhe Amerika nuk ka demokraci ,por vetem interesa per amerikanet . Ky Blinken, na e beri qeverine me Ramen sikur te jene qengja. Ke mashtroni ju, o amerikane? Ne shqiptaret e dime me mire se ju se cfare ndyresirash , hajdutash dhe mafioze jane keta! Per Monigal nuk the gje ? Dokumentat e korrupsionit te Berishes, nuk na i treguat ? Perseri mashtrime  dhe sy per sy ,cfare mendoni, jane budallenj shqiptaret?	Politics	T																				
69	Nezhon pse e ftove ky eshte kot fare	Nezhon pse e ftove? Ky eshte kot fare.	Politics	T																				
70	O BATONOVIC CAR RESPEKTI PATI PER RAMOVICIN PER VJEDHJET QE KA BERE KY BLINKEN E KA BLERE SOROSI DHE ME KE ISHTE E SHOQERUAR ME ATE TE KORUPTUAREN KIMETEN PRANDAJ KY BLINKEN INJOROJ 700000 MIJE SHQIPETARE	O Batonavic, cfare respekti pati per Ramovicin, per vjedhjet qe ka bere? Kete Blinken e ka blere Sorosi. Me ke ishte i shoqeruar, me ate te korruptuaren Kimeten? prandaj ky Blinken injoroi  700000 shqiptare.	Politics	F																				
71	America interesat e veta humbje nga Russia	Amerika interesat e veta, humbje nga Rusia.	Politics	F																				
72	Po po ku e ke gjetur	Po po, ku e ke gjetur?	Politics	F																				
73	PD eshte hale	PD eshte hale.	Politics	T																				
74	Ky kurva blinken e dha mesazhin edi kurva do fitoj thot	Ky kurva Blinken e dha mesazhin. Edi kurva do fitoje, thote.	Politics	T																				
75	plehrat e Sali Serbit ne aksion hajdutet	Plehrat e Sali serbit ne aksion. Hajdute!	Politics	T																				
76	O blendo ndrro te ftuarit , se ke ftu 1 tuf me budallej	O Blendo, nderro te ftuarit se ke ftuar 1 tufe me budallenj.	Politics	T																				
77	KY legeni I Gjermanise dergoje per te pire nje milko  ...femije bythe	Ketij legenit te Gjermanise dergoji per te pire nje milko, femije bythe.	Politics	T																				
78	O demokrat e nderuar mos mbahi per shkume s mundet me kte qasje politike qe keni  nuk ju qon asgjekundi. Hiqni dore nga e kaluara mblidhni forcat afroni te rinj me eksprienc zgjedhni liderin qe tju udheq e leni supozimet futja kot se sekretari Amerikzn nuk ka ardhur me porosi te sorisit. Po i dha z. Ramavetem ate qfar meriton eshte lider i pa diskutushem, per sa kohe do vazhdoni kshtu do ti zgjatet pafundsisht pushteti dhe ju do tju mbeten studion per analiza. Eshte vetvrasje kjo qe po beni lene te vjetren te mbyll vitet e punes e te shkruajn kujtime se si ja ben gjemen popullit Shqiptar.	O demokrate te nderuar! Mos u mbani prej shkumes, s'mundet me kete qasje politike qe keni, nuk ju con askund.  Hiqni dore nga e kaluara, mblidhni forcat, afroni te rinjte me eksprience, zgjidhni liderin qe t'ju udheheqe e lini supozimet , futja kot se sekretari amerikan nuk ka ardhur me porosi te Sorisit. Po i dha z. Rama vetem ate cfare meriton, eshte lider i padiskutushem, per sa kohe do vazhdoni keshtu do ti zgjatet pafundesisht pushteti dhe ju do t'ju mbeten studiot per analiza. Eshte vetvrasje kjo qe po beni, lereni te vjetren te mbylle vitet e punes e te shkruajne kujtime se si ia ben gjemen popullit Shqiptar.	Politics	F																				
79	Mbetjet osmane!!! Wtf	Mbetjet Osmane!!! Wtf	Politics	F																				
80	Zoti Fevziu vizita e zotit Blinken në Shqipëri ishte vetëm një vëtetësi e mardhënieve Shqipëri - SHBA, ku qeveria amerikane bëri theksimin e miqësis së veçantë të dy shteteve tona. Shpresojmë, se Opozita shqipëtare nxorri mësime nga kjo vizit dhe hapi sytë për të ardhmen. Qeveria amerikane ndjek me vëmendje zhvillimin e Shqipëris dhe Kosovës dhe veçanërisht të Shqipëtarëve të kudondodhur. Projektet tona me SHBA-në do thellohen më shumë dhe nuk do lejojnë, që në mes tyre të pështyj asnjë shtet tjetër fqinj. Këtu dua të theksoj llomotitjet e panumërta të shumë medieve opozitare, që merren me spekullime dhe dalin para kamerave, se gjoja i njohin mirë mardhëniet e Shqipëris me Amerikën. Periudha e fusha-tës elektorale ka përfunduar, tani është koha e realizimit të objektivave të reja. Cilat janë këto objektiva? Projektet e reja që qeveria aktuale dhe opozita ka për këtë vit. Mos ka vallë vetëm projekte për Shqipërin vetëm  qeveria socialiste? Më duket se po. Forcat politike demokratike, si forca më e madhe opozitare e qeveris socialiste kanë vetëm një alternativ jetshpëtuese: Të dalin para popullit dhe votuesve të tyre me projekte të reja për Shqipërin dhe vendin tonë. Këto projekte financiare për ekonomin tonë kombëtare kanë rëndësin e madhe strategjike për ngritjen e nivelit kombëtar të vendit në një zhvillim ë ri, në një përparim të ri, në një financ të re ekonommike dhe financiare. Fakti, që shteti amerikan po investon në Shqipëri, tregon dhe shpreh besueshmërin dhe lojalitetin e qeveris aktuale të Shqipëris ndaj shtetit amerikan. Këtë besueshmëri të shtetit amerikan ndaj Shqipëris do ta dëshironte çdo shtet tjetër përreth nesh. Merita e zotit Rama është njohja e gjuhëve të huaja, por edhe fjalët që ai zgjedh në diplomacin e të dy shteteve tona. Shqipëria nuk ka një Ministër të Jashtëm, por një politik shumë të fortë në Politikën e Jashtme. Sigurisht, që Rama është duke punuar për të vendosur një person të fortë dhe të besueshëm në këtë pozicion të rëndësishëm diplomatik shqipëtar.	Zoti Fevziu, vizita e zotit Blinken në Shqipëri ishte vetëm një vërtetësi e marredhënieve Shqipëri - SHBA, ku qeveria amerikane bëri theksimin e miqësise së veçantë të dy shteteve tona. Shpresojmë qe opozita shqiptare nxori mësime nga kjo vizite dhe hapi sytë për të ardhmen. Qeveria amerikane ndjek me vëmendje zhvillimin e Shqipërise dhe Kosovës, dhe veçanërisht të shqiptarëve të kudo ndodhur. Projektet tona me SHBA-në do thellohen më shumë, dhe nuk do lejojnë që në mes tyre të pështyj asnjë shtet tjetër fqinj. Këtu dua të theksoj llomotitjet e panumërta të shumë mediave opozitare, që merren me spekullime dhe dalin para kamerave, se gjoja i njohin mirë marrdhëniet e Shqipërise me Amerikën. Periudha e fushatës elektorale ka përfunduar, tani është koha e realizimit të objektivave të reja. Cilat janë këto objektiva? Projektet e reja që qeveria aktuale dhe opozita ka për këtë vit. Mos ka vallë, projekte për Shqipërine, vetëm qeveria socialiste? Më duket se po. Forcat politike demokratike, si forca më e madhe opozitare e qeverise socialiste kanë vetëm një alternative jete shpëtuese: Të dalin para popullit dhe votuesve të tyre me projekte të reja për Shqipërine dhe vendin tonë. Këto projekte financiare për ekonomine tonë kombëtare kanë rëndësine e madhe strategjike, për ngritjen e nivelit kombëtar të vendit në një zhvillim të ri, në një përparim të ri, në një finance të re ekonomike dhe financiare. Fakti, që shteti amerikan po investon në Shqipëri, tregon dhe shpreh besueshmërine dhe loyal-itetin e qeverise aktuale të Shqipërise ndaj shtetit amerikan. Këtë besueshmëri të shtetit amerikan ndaj Shqipërise do ta dëshironte çdo shtet tjetër përreth nesh. Merita e zotit Rama është njohja e gjuhëve të huaja, por edhe fjalët që ai zgjedh në diplomacine e të dy shteteve tona. Shqipëria nuk ka një Ministër të Jashtëm, por një politikan shumë të fortë në Politikën e Jashtme. Sigurisht, që Rama është duke punuar për të vendosur një person të fortë dhe të besueshëm në këtë pozicion të rëndësishëm diplomatik shqiptar.	Politics	F																				
81	Zoti Nesho ju keni vjell pandërprerje kundër qeveris Rama, ndërsa sot po ndryshoni pllakën. Këtë e bëri zoti Blinkën me vizitën e tij në Shqipëri. Ju e keni futur në qorrsokak politikën demokratike shqipëtare.	Zoti Nesho, ju keni vjelle pandërprerje kundër qeverise Rama, ndërsa sot po ndryshoni pllakën. Këtë e bëri zoti Blinkën me vizitën e tij në Shqipëri. Ju e keni futur në qorrsokak politikën demokratike shqiptare.	Politics	F																				
